historical_gwa,current_prelim_avg,failed_subjects_count,irregular_semesters,final_gwa,risk_level
1.71,1.38,0,0,1.71,HIGH
3.67,4.0,0,0,3.64,LOW
3.19,3.35,1,1,3.16,LOW
3.6,3.93,0,0,4.0,LOW
3.49,4.0,3,3,3.55,LOW
2.74,2.65,2,1,2.52,LOW
3.55,3.25,0,0,3.7,LOW
1.47,1.12,1,3,1.17,HIGH
1.74,1.41,1,2,1.43,HIGH
1.36,1.33,0,0,1.56,HIGH
2.06,2.2,2,1,1.78,MODERATE
2.22,2.33,0,0,1.97,MODERATE
1.93,2.26,1,1,2.09,MODERATE
3.32,3.33,0,0,3.33,LOW
2.14,2.72,2,3,2.15,MODERATE
1.95,1.85,0,0,1.87,MODERATE
2.61,3.69,0,0,2.9,LOW
1.6,1.85,2,1,1.48,HIGH
3.26,2.91,0,0,3.06,LOW
1.44,1.01,0,0,1.25,HIGH
3.72,3.91,3,2,3.5,LOW
3.18,3.09,3,2,2.82,LOW
1.75,2.03,0,0,1.75,MODERATE
1.26,1.45,0,0,1.0,HIGH
3.29,3.26,0,0,3.38,LOW
3.02,2.68,0,0,2.97,LOW
3.07,2.47,0,0,2.88,LOW
3.18,3.0,0,0,3.16,LOW
1.44,1.78,1,1,1.5,HIGH
2.15,2.23,1,3,1.92,MODERATE
1.54,1.04,1,1,1.23,HIGH
3.41,3.48,0,0,3.51,LOW
2.81,2.96,0,0,2.89,LOW
2.08,1.72,0,0,2.28,MODERATE
1.41,1.47,0,0,1.67,HIGH
2.03,2.05,0,0,2.17,MODERATE
2.06,1.61,2,3,1.62,HIGH
3.07,3.22,0,0,3.03,LOW
2.84,3.07,0,0,2.76,LOW
3.47,3.9,0,0,3.64,LOW
2.43,2.85,1,2,2.04,MODERATE
1.55,1.0,0,0,1.32,HIGH
3.03,2.66,0,0,2.87,LOW
3.15,3.36,0,0,2.99,LOW
2.65,2.86,1,3,2.69,LOW
3.18,3.38,0,0,3.07,LOW
2.48,4.0,1,1,2.9,LOW
2.56,2.79,1,2,2.93,LOW
2.32,2.77,0,0,2.21,MODERATE
1.31,1.7,0,0,1.41,HIGH
1.52,1.78,4,2,1.28,HIGH
1.33,1.2,0,0,1.2,HIGH
2.84,3.14,0,0,3.05,LOW
2.04,1.73,1,1,2.03,MODERATE
2.52,2.43,3,3,2.37,MODERATE
3.52,3.32,4,3,3.06,LOW
1.87,1.91,1,3,2.11,MODERATE
2.28,3.2,0,0,2.29,MODERATE
3.14,2.39,0,0,2.76,LOW
1.82,2.1,1,1,1.85,MODERATE
1.44,1.0,0,0,1.32,HIGH
1.97,1.79,0,0,1.99,MODERATE
1.65,2.09,2,3,1.83,MODERATE
3.57,3.6,0,0,3.56,LOW
3.27,2.84,0,0,3.16,LOW
2.83,2.55,0,0,2.66,LOW
3.43,3.7,0,0,3.6,LOW
3.26,2.97,0,0,3.12,LOW
1.72,1.8,0,0,1.69,HIGH
3.48,3.5,0,0,3.57,LOW
2.6,2.34,0,0,2.68,LOW
3.27,4.0,1,2,3.05,LOW
3.49,3.74,0,0,3.62,LOW
2.05,1.23,3,3,1.52,HIGH
1.53,1.6,0,0,1.69,HIGH
1.82,1.56,0,0,1.7,HIGH
2.32,2.66,2,2,2.46,MODERATE
3.3,2.98,0,0,3.1,LOW
3.4,3.36,3,2,2.84,LOW
1.27,1.47,0,0,1.49,HIGH
2.53,2.87,3,3,2.26,MODERATE
2.29,1.81,0,0,1.91,MODERATE
1.81,1.67,2,3,1.58,HIGH
1.55,1.36,0,0,1.46,HIGH
2.09,1.83,4,3,1.85,MODERATE
3.61,4.0,0,0,3.86,LOW
2.06,2.22,0,0,2.12,MODERATE
2.55,2.04,3,1,2.08,MODERATE
3.01,3.37,0,0,3.16,LOW
2.16,3.01,0,0,2.44,MODERATE
3.68,4.0,0,0,3.86,LOW
3.66,3.05,0,0,3.34,LOW
1.88,1.69,0,0,1.76,MODERATE
2.49,3.0,0,0,2.72,LOW
2.0,1.72,2,2,1.94,MODERATE
1.96,2.14,0,0,2.16,MODERATE
1.34,1.65,0,0,1.45,HIGH
2.77,2.4,3,1,2.41,MODERATE
2.51,2.48,2,2,2.4,MODERATE
1.38,1.0,0,0,1.1,HIGH
1.95,1.54,0,0,1.7,HIGH
